letter,index,x_pixel,y_pixel,delta_lambda_nm,eta_min_to_this_spot
Z,0,81,108,-6.575,5.0
Z,1,95,108,-6.575,10.0
Z,2,109,108,-6.575,15.0
Z,3,123,108,-6.575,20.0
Z,4,81,156,+6.575,25.0
Z,5,95,156,+6.575,30.0
Z,6,109,156,+6.575,35.0
Z,7,123,156,+6.575,40.0
Z,8,113,120,-3.288,45.0
Z,9,102,132,+0.000,50.0
Z,10,92,144,+3.288,55.0
J,0,173,108,-6.575,60.0
J,1,173,120,-3.288,65.0
J,2,173,132,+0.000,70.0
J,3,173,144,+3.288,75.0
J,4,163,156,+6.575,80.0
J,5,147,150,+4.932,85.0
U,0,197,108,-6.575,90.0
U,1,197,120,-3.288,95.0
U,2,197,132,+0.000,100.0
U,3,197,144,+3.288,105.0
U,4,239,108,-6.575,110.0
U,5,239,120,-3.288,115.0
U,6,239,132,+0.000,120.0
U,7,239,144,+3.288,125.0
U,8,206,154,+6.027,130.0
U,9,218,158,+7.123,135.0
U,10,230,154,+6.027,140.0
