wavelength_run,point_label,method,target_x_px,target_y_px,eval_count,elapsed_sec,final_intensity,best_intensity,phase_FWHM_deg,wl_FWHM_deg,phase_FWHM_px,wl_FWHM_px,peak_x_px,peak_y_px,peak_x_deg,peak_y_deg,deviation_x_px,deviation_y_px,deviation_rss_px,deviation_x_deg,deviation_y_deg,deviation_rss_deg,status
20260420_104610_lambda_1530p822nm,point_01_C0_x160_y62,5pps,160,62,1793,321.4042395,530983,8072,0.176,0.263,4.096,6.121,160,60,6.875,2.578,0,-2,2,0,-0.086,0.086,ok
20260420_110139_lambda_1531p644nm,point_01_C1_x182_y65,5pps,182,65,1793,382.3606828,508240,8881,0.19,0.108,4.422,2.513,182,60,7.82,2.578,0,-5,5,-0,-0.215,0.215,ok
20260420_110139_lambda_1531p644nm,point_02_C19_x138_y65,5pps,138,65,1793,397.6725595,522190,8644,0.184,0.122,4.282,2.839,138,61,5.93,2.621,0,-4,4,0,-0.172,0.172,ok
20260420_111759_lambda_1534p384nm,point_01_C2_x201_y75,5pps,201,75,1793,344.0819435,565082,9794,0.168,0.26,3.91,6.051,201,73,8.637,3.137,0,-2,2,0,-0.086,0.086,ok
20260420_111759_lambda_1534p384nm,point_02_C18_x119_y75,5pps,119,75,1793,340.8373043,555703,8013,0.195,0.145,4.538,3.375,118,71,5.07,3.051,-1,-4,4.123,-0.043,-0.172,0.177,ok
20260420_113423_lambda_1538p767nm,point_01_C3_x217_y91,5pps,217,91,1793,291.3752705,601367,11489,0.183,0.081,4.259,1.885,217,88,9.324,3.781,0,-3,3,-0,-0.129,0.129,ok
20260420_113423_lambda_1538p767nm,point_02_C17_x103_y91,5pps,103,91,1793,297.6687736,565072,8927,0.191,0.276,4.445,6.423,103,89,4.426,3.824,0,-2,2,0,-0.086,0.086,ok
20260420_114608_lambda_1543p973nm,point_01_C4_x227_y110,5pps,227,110,1793,302.6785694,597921,10341,0.166,0.277,3.863,6.447,227,107,9.754,4.598,0,-3,3,0,-0.129,0.129,ok
20260420_114608_lambda_1543p973nm,point_02_C16_x93_y110,5pps,93,110,1793,297.5879342,586231,8993,0.181,0.296,4.212,6.889,92,106,3.953,4.555,-1,-4,4.123,-0.043,-0.172,0.177,ok
20260420_115935_lambda_1550p000nm,point_01_C5_x230_y132,5pps,230,132,1793,306.8451323,617477,10783,0.172,0.298,4.003,6.935,230,129,9.883,5.543,0,-3,3,0,-0.129,0.129,ok
20260420_115935_lambda_1550p000nm,point_02_C15_x90_y132,5pps,90,132,1793,300.5174454,541228,9510,0.196,0.167,4.561,3.887,90,127,3.867,5.457,0,-5,5,-0,-0.215,0.215,ok
20260420_121340_lambda_1556p027nm,point_01_C6_x227_y154,5pps,227,154,1793,304.0980031,653052,12984,0.175,0.28,4.073,6.516,227,151,9.754,6.488,0,-3,3,0,-0.129,0.129,ok
20260420_121340_lambda_1556p027nm,point_02_C14_x93_y154,5pps,93,154,1793,303.905181,633981,11478,0.176,0.296,4.096,6.889,93,153,3.996,6.574,0,-1,1,-0,-0.043,0.043,ok
20260420_123204_lambda_1561p233nm,point_01_C7_x217_y173,5pps,217,173,1793,306.2960521,612008,12943,0.201,0.121,4.678,2.816,217,166,9.324,7.133,0,-7,7,-0,-0.301,0.301,ok
20260420_123204_lambda_1561p233nm,point_02_C13_x103_y173,5pps,103,173,1793,295.0093396,651413,12301,0.187,0.267,4.352,6.214,103,168,4.426,7.219,0,-5,5,0,-0.215,0.215,ok
20260420_124612_lambda_1565p616nm,point_01_C8_x201_y189,5pps,201,189,1793,296.9208865,691956,13904,0.183,0.274,4.259,6.377,200,185,8.594,7.949,-1,-4,4.123,-0.043,-0.172,0.177,ok
20260420_124612_lambda_1565p616nm,point_02_C12_x119_y189,5pps,119,189,1793,290.9535571,672528,13785,0.193,0.086,4.492,2.001,118,186,5.07,7.992,-1,-3,3.162,-0.043,-0.129,0.136,ok
20260420_125849_lambda_1565p616nm,point_01_C8_x201_y189,5pps,201,189,1793,310.3421317,682866,13649,0.192,0.114,4.468,2.653,200,183,8.594,7.863,-1,-6,6.083,-0.043,-0.258,0.262,ok
20260420_125849_lambda_1565p616nm,point_02_C12_x119_y189,5pps,119,189,1793,293.7904538,677281,13998,0.194,0.115,4.515,2.676,118,184,5.07,7.906,-1,-5,5.099,-0.043,-0.215,0.219,ok
20260420_132344_lambda_1543p151nm,point_01_E0_x135_y107,5pps,135,107,1793,312.0413618,549737,10651,0.184,0.111,4.282,2.583,135,102,5.801,4.383,0,-5,5,0,-0.215,0.215,ok
20260420_132344_lambda_1543p151nm,point_02_E1_x185_y107,5pps,185,107,1793,308.1844433,590541,9269,0.185,0.294,4.305,6.842,184,102,7.906,4.383,-1,-5,5.099,-0.043,-0.215,0.219,ok
20260420_133704_lambda_1557p945nm,point_01_S0_x129_y161,5pps,129,161,1793,299.0496452,611739,10655,0.194,0.28,4.515,6.516,128,156,5.5,6.703,-1,-5,5.099,-0.043,-0.215,0.219,ok
20260420_133704_lambda_1557p945nm,point_02_S4_x191_y161,5pps,191,161,1793,307.2335204,622497,12029,0.177,0.276,4.119,6.423,191,159,8.207,6.832,0,-2,2,-0,-0.086,0.086,ok
20260420_135038_lambda_1560p685nm,point_01_S1_x143_y171,5pps,143,171,1793,299.4537074,640769,13550,0.181,0.075,4.212,1.745,142,168,6.102,7.219,-1,-3,3.162,-0.043,-0.129,0.136,ok
20260420_135038_lambda_1560p685nm,point_02_S3_x177_y171,5pps,177,171,1793,304.3347967,644763,11797,0.174,0.308,4.049,7.168,177,169,7.605,7.262,0,-2,2,-0,-0.086,0.086,ok
20260420_140406_lambda_1561p781nm,point_01_S2_x160_y175,5pps,160,175,1793,295.2776995,640286,10815,0.183,0.301,4.259,7.005,159,170,6.832,7.305,-1,-5,5.099,-0.043,-0.215,0.219,ok
20260418_105115_lambda_1550p0nm,point_01_Z9_x102_y132,5pps,102,132,1793,310.1746793,595965,9391,0.184,0.297,4.282,6.912,101,128,4.34,5.5,-1,-4,4.123,-0.043,-0.172,0.177,ok
20260418_105115_lambda_1550p0nm,point_02_J2_x173_y132,5pps,173,132,1793,291.7679825,601267,10959,0.183,0.282,4.259,6.563,173,131,7.434,5.629,0,-1,1,0,-0.043,0.043,ok
20260418_105115_lambda_1550p0nm,point_03_U2_x197_y132,5pps,197,132,1793,297.8431165,548999,8408,0.211,0.178,4.911,4.143,197,126,8.465,5.414,0,-6,6,0,-0.258,0.258,ok
