letter,index,x_pixel,y_pixel,delta_lambda_nm,eta_min_to_this_spot
C,0,160,62,-19.178,5.0
C,1,182,65,-18.356,10.0
C,2,201,75,-15.616,15.0
C,3,217,91,-11.233,20.0
C,4,227,110,-6.027,25.0
C,5,230,132,+0.000,30.0
C,6,227,154,+6.027,35.0
C,7,217,173,+11.233,40.0
C,8,201,189,+15.616,45.0
C,9,182,199,+18.356,50.0
C,10,160,202,+19.178,55.0
C,11,138,199,+18.356,60.0
C,12,119,189,+15.616,65.0
C,13,103,173,+11.233,70.0
C,14,93,154,+6.027,75.0
C,15,90,132,+0.000,80.0
C,16,93,110,-6.027,85.0
C,17,103,91,-11.233,90.0
C,18,119,75,-15.616,95.0
C,19,138,65,-18.356,100.0
E,0,135,107,-6.849,105.0
E,1,185,107,-6.849,110.0
S,0,129,161,+7.945,115.0
S,1,143,171,+10.685,120.0
S,2,160,175,+11.781,125.0
S,3,177,171,+10.685,130.0
S,4,191,161,+7.945,135.0
